AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3103600010155,52,55,38,66,3,64,5,88,5,14,,,,
3103600010136,932,936,479,1212,177,1241,148,1428,252,187,,,,
3103600010102,826,806,409,1078,145,1046,177,1271,214,147,,,,
3103600010085,50,56,29,73,4,65,12,100,6,,,,,
3103600010121,639,682,324,912,85,904,93,963,210,146,,,,
310360001009A,909,852,426,1192,143,1211,124,1379,223,158,,,,
3103600010117,8,7,3,11,,12,,9,,6,,,,
3110100010225,988,1077,460,1456,149,1575,30,1670,271,122,2065,0.12565km²,16435/km²,
311010001023A,1059,1154,499,1583,131,1669,45,1709,317,182,2213,0.15244km²,14517/km²,
3110100010206,2023,2088,780,2751,578,3172,159,3440,446,207,4111,0.99497km²,4132/km²,3
3110100010333,1609,1639,723,2211,314,2406,119,2629,417,202,3248,0.87435km²,3715/km²,
3110100010314,701,713,382,977,55,1011,21,1091,181,141,1414,1.042km²,1357/km²,
3110100010210,1970,1910,940,2785,155,2863,77,2938,674,258,3880,0.85616km²,4532/km²,
3110100010348,1833,1794,885,2542,196,2631,111,2568,714,339,3627,1.259km²,2881/km²,
3110100010494,1078,1102,358,1509,313,1733,89,1723,322,133,2180,0.56593km²,3852/km²,
3110100010475,961,1080,396,1469,176,1618,27,1535,267,235,2041,0.41280km²,4944/km²,3
3110100010418,27,28,21,29,5,34,,45,9,,55,0.067580km²,813.9/km²,
3110100010526,55,69,39,85,,81,4,83,37,4,124,0.29223km²,424.3/km²,
311010001048A,,,,,,,,,,,0,0.31371km²,0/km²,
3110100010545,458,480,273,654,11,655,10,583,171,180,938,0.087430km²,10729/km²,4
3110100010386,158,173,91,222,18,233,7,213,74,44,331,0.061480km²,5384/km²,
3110100010390,81,87,49,118,,119,,118,21,29,168,0.17199km²,976.8/km²,
3110100010403,815,843,561,1076,21,1068,29,1116,330,201,1658,0.15577km²,10644/km²,8
3110100010507,1338,1299,740,1795,102,1838,59,1895,488,254,2637,1.124km²,2346/km²,
3110100010193,1594,1628,785,2236,194,2276,161,2077,711,423,3222,0.64308km²,5010/km²,
3110100010511,28,23,13,36,,38,,23,21,6,51,0.014080km²,3622/km²,
3110100010329,56,44,26,66,8,65,9,68,21,11,100,0.078930km²,1267/km²,
3110100010579,195,208,131,270,,272,,266,80,57,403,0.059670km²,6754/km²,
3110100010189,2794,2708,1453,3774,275,3805,244,3880,1037,583,5502,1.320km²,4169/km²,
3110100010564,1026,1104,654,1453,23,1460,16,1399,397,325,2130,0.26007km²,8190/km²,9
